District Number,Council Member,District Office Address,District Office Phone,District Email
1,Christopher Marte,"65 East Broadway
New York, NY 10002",212-587-3159,District1@council.nyc.gov
2,Carlina Rivera,"254 East 4th Street
10 a.m. to 5 p.m.",212-677-1077,District2@council.nyc.gov
3,Erik Bottcher,"224 West 30th St, Suite 1206
New York, NY 10001",212-564-7757,District3@council.nyc.gov
4,Keith Powers,"211 East 43rd Street, Suite 1205
New York, NY 10017",212-818-580,KPowers@council.nyc.gov
5,Julie Menin,"444 East 75th Street
Unit 1B
New York, NY 10021",212-860-1950,District5@council.nyc.gov
6,Gale Brewer,"563 Columbus Ave
New York, NY 10024",212-873-282,District6@council.nyc.gov
7,Shaun Abreu,"500 West 141st Street
New York, NY 10031",212-928-6814,District7@council.nyc.gov
8,Diana Ayala,"East Harlem Office:
105 East 116th Street
New York, NY 10029",212-828-9800,District8@council.nyc.gov
9,Yusef Salaam,"163 Lenox Avenue
New York, NY  10026",212-678-4505,District9@council.nyc.gov
10,Carmen De La Rosa,"618 W. 177th Street, Ground Floor
New York, NY 10033",917-521-2616,District10@council.nyc.gov
11,Eric Dinowitz,"277 West 231st Street
Bronx, NY 10463",718-549-7300,dinowitz@council.nyc.gov
12,Kevin Riley,"Gun Hill Road District Office
940 East Gun Hill Road
Bronx, NY 10469",718-684-5509,District12@council.nyc.gov
13,Kristy Marmorato,"3040 E Tremont Avenue, Suite 107
Bronx, NY 10461",718-931-1721,District13@council.nyc.gov
14,Pierina Ana Sanchez,"2065 Morris Ave
Bronx, New York 10453",347-590-2874,District14@council.nyc.gov
15,Oswald Feliz,"573 East Fordham Road
(Entrance on Hoffman Street)
Bronx, NY 10458",718-842-8100,District15@council.nyc.gov
16,Althea Stevens,"1377 Jerome Avenue
Bronx, NY 10452",718-588-7500,District16@council.nyc.gov
17,Rafael Salamanca Jr,"1070 Southern Boulevard
Bronx, NY 10459",718-402-6130,salamanca@council.nyc.gov
18,Amanda Farías,"778 Castle Hill Avenue
Bronx, NY 10473",718-792-1140,District18@council.nyc.gov
19,Vickie Paladino,"20-15 Francis Lewis Blvd
Whitestone, NY 11357",718-619-8611,District19@council.nyc.gov
20,Sandra Ung,"136-21 Latimer Place, 1D
Flushing, NY 11354",718-888-8747,district20@council.nyc.gov
21,Francisco Moya,"106-01 Corona Avenue
Corona, NY 11368",718-651-1917,district21@council.nyc.gov
22,Tiffany Cabán,"30-83 31st St.
Astoria, NY 11102",718-274-4500,District22@council.nyc.gov
23,Linda Lee,"73-03 Bell Boulevard
Oakland Gardens, NY 11364",718-468-137,District23@council.nyc.gov
24,James Gennaro,"180-32 Union Turnpike,
Fresh Meadows, NY 11366",718-217-4969,District24@council.nyc.gov
25,Shekar Krishnan,"37-32 75th Street, 1st Floor
Jackson Heights, NY 11372",718-803-6373,District25@council.nyc.gov
26,Julie Won,"37-04 Queens Boulevard, Suite 205
Long Island City, NY 11101",718-383-9566,district26@council.nyc.gov
27,Nantasha Williams,"172-12 Linden Boulevard
St. Albans, NY 11434",718-776-3700,District27@council.nyc.gov
28,Adrienne E. Adams,"165-38A Baisley Blvd., 2nd Floor
Jamaica, NY 11434",718-206-2068,SpeakerAdams@council.nyc.gov
29,Lynn Schulman,"118-35 Queens Boulevard, Suite 900
Forest Hills, NY 11375",718-544-8800,District29@council.nyc.gov
30,Robert Holden,"58-38 69th Street
Maspeth, NY 11378",718-366-3900,District30@council.nyc.gov
31,Selvena Brooks-Powers,"Rockaway Office:
1931 Mott Avenue, Suite 410
Far Rockaway, NY 11691",718-471-7014,District31@council.nyc.gov
32,Joann Ariola,"Ozone Park Office:
93-06 101st Avenue
Ozone Park, NY 11416",718-738-1083,District32@council.nyc.gov
33,Lincoln Restler,"410 Atlantic Avenue
Brooklyn, NY 11217",718-875-5200,District33@council.nyc.gov
34,Jennifer Gutiérrez,"244 Union Avenue
Brooklyn, NY 11211",718-963-3141,District34@council.nyc.gov
35,Crystal Hudson,"55 Hanson Place, Suite 778
Brooklyn, NY 11217",718-260-9191,District35@council.nyc.gov
36,Chi Ossé,"1360 Fulton Street, Suite 500
Brooklyn, NY 11216",718-919-740,District36@council.nyc.gov
37,Sandy Nurse,"56 Pennsylvania Ave
Brooklyn, NY 11207",718-642-8664,District37@council.nyc.gov
38,Alexa Avilés,"4417 4th Avenue, Ground Floor
Brooklyn, NY 11220",718-439-9012,District38@council.nyc.gov
39,Shahana Hanif,"197 Bond Street, 1st Floor
Brooklyn, NY 11217",718-499-1090,District39@council.nyc.gov
40,Rita Joseph,"930 Flatbush Avenue
Brooklyn, NY 11226",718-287-8762,District40@council.nyc.gov
41,Darlene Mealy,"400 Rockaway Avenue
Brooklyn, NY 11212",718-953-3097,District41@council.nyc.gov
42,Chris Banks,"447 New Lots Avenue (Temporary Office)
Brooklyn, NY 11207",718-649-9495,District42@council.nyc.gov
43,Susan Zhuang,"6514 20th Avenue Brooklyn 11204",718-307-7151,District43@council.nyc.gov
44,Kalman Yeger,"4424 16th Avenue
Brooklyn, NY 11204",718-853-2704,AskKalman@council.nyc.gov
45,Farah Louis,"1434 Flatbush Avenue
Brooklyn, NY 11210",718-629-2900,District45@council.nyc.gov
46,Mercedes Narcisse,"5827 Flatlands Avenue
Brooklyn, NY 11234",718-241-9330,District46@council.nyc.gov
47,Justin Brannan,"8203 3rd Avenue,
Brooklyn, NY 11209",718-748-5200,AskJB@council.nyc.gov
48,Inna Vernikov,"1711 Gravesend Neck Rd.
Brooklyn, NY 11229",718-368-9176,IVernikov@council.nyc.gov
49,Kamillah Hanks,"130 Stuyvesant Place 6th Floor, Room 602
Staten Island, NY 10301",718-556-7370,District49@council.nyc.gov
50,David Carr,"900 South Avenue, Suite 403
Staten Island, NY 10314",718-980-1017,DCarr@council.nyc.gov
51,Joseph Borelli,"2955 Veterans Road West, Suite 2
Staten Island, NY 10309",718-984-5151,borelli@council.nyc.gov
